t_ms,velocidade_rad_s
13561,-11.126475
13581,-11.199197
13601,-11.271920
13621,-11.126475
13642,-11.126475
13661,-11.199197
13681,-11.196957
13701,-11.124250
13721,-11.269665
13741,-11.196957
13761,-11.051542
13781,-11.271920
13801,-11.124250
13821,-11.124250
13841,-11.269665
13861,-11.199197
13881,-11.126475
13901,-11.199197
13921,-11.271920
13942,-11.126475
13961,-11.196957
13982,-11.271920
14001,-11.344641
14021,-11.199197
14041,-11.124250
14061,-11.269665
14081,-11.271920
14101,-11.199197
14121,-11.124250
14141,-11.269665
14161,-11.271920
14181,-11.267413
14201,-11.126475
14221,-11.196957
14242,-11.340106
14261,-11.196957
14282,-11.199197
14301,-11.196957
14321,-11.269665
14341,-11.271920
14361,-11.126475
14381,-11.126475
14401,-11.344641
14421,-11.196957
14441,-11.192481
14461,-11.196957
14481,-11.269665
14501,-11.271920
14521,-11.271920
14542,-11.126475
14561,-11.271920
14582,-11.269665
14601,-11.344641
14622,-11.199197
14641,-11.199197
14661,-11.196957
14681,-11.344641
14701,-11.271920
14721,-11.196957
14741,-11.199197
14761,-11.271920
14781,-11.344641
14801,-11.344641
14821,-11.417364
14842,-11.490086
14861,-11.490086
14882,-11.340106
14901,-11.199197
14922,-11.344641
14941,-11.415080
14961,-11.417364
14981,-11.342372
15001,-11.344641
15021,-11.344641
15041,-11.417364
15061,-11.344641
15081,-11.342372
15101,-11.344641
15121,-11.415080
15142,-11.412798
15161,-11.342372
15182,-11.340106
15201,-11.342372
15222,-11.417364
15241,-11.344641
15262,-11.342372
15281,-11.344641
15301,-11.342372
15321,-11.415080
15341,-11.342372
15361,-11.344641
15381,-11.342372
15401,-11.417364
15421,-11.342372
15442,-11.344641
15461,-11.342372
15482,-11.415080
15501,-11.344641
15522,-11.344641
15541,-11.344641
15562,-11.415080
15581,-11.344641
15601,-11.342372
15621,-11.415080
15641,-11.344641
15661,-11.344641
15681,-11.344641
15701,-11.344641
15721,-11.342372
15742,-11.415080
15761,-11.415080
15782,-11.344641
15801,-11.344641
15822,-11.342372
15841,-11.412798
15862,-11.344641
15881,-11.342372
15902,-11.344641
15921,-11.417364
15941,-11.344641
15961,-11.344641
15981,-11.342372
16001,-11.344641
16021,-11.415080
16042,-11.344641
16061,-11.412798
16082,-11.344641
16101,-11.344641
16122,-11.344641
16141,-11.344641
16162,-11.417364
16181,-11.344641
16202,-11.342372
16221,-11.344641
16241,-11.417364
16261,-11.344641
16281,-11.344641
16301,-11.342372
16321,-11.415080
16342,-11.410516
16361,-11.342372
16382,-11.344641
16401,-11.342372
16422,-11.344641
16441,-11.415080
16462,-11.342372
16481,-11.344641
16502,-11.344641
16521,-11.344641
16542,-11.417364
16561,-11.342372
16581,-11.344641
16601,-11.344641
16621,-11.417364
16642,-11.410516
16661,-11.342372
16682,-11.344641
16701,-11.342372
16722,-11.344641
16741,-11.417364
16762,-11.344641
16781,-11.344641
16802,-11.412798
16821,-11.344641
16842,-11.271920
16861,-11.415080
16881,-11.344641
16901,-11.417364
16921,-11.344641
16942,-11.342372
16961,-11.415080
16982,-11.340106
17001,-11.342372
17022,-11.344641
17041,-11.342372
17062,-11.415080
17081,-11.344641
17102,-11.342372
17121,-11.344641
17142,-11.417364
17161,-11.344641
